cell_id,row_index,cell_type
10307921525950,506,apCAFs
10307921526000,507,Endothelial cells
10307921526050,508,mPDAC
10307921526100,509,CD4 T cells
10307921526150,510,Tregs
10307921526200,511,Tregs
10307921526250,512,M2 Macrophage
10307921526300,513,NK cells
10307921526350,514,myCAFs
10307921526400,515,myCAFs
10307921526450,516,mPDAC
10307921526500,517,M2 Macrophage
10307921526550,518,Endothelial cells
10307921526600,519,Tregs
10307921526650,520,apCAFs
10307921526700,521,myCAFs
10307921526750,522,mPDAC
10307921526800,523,myCAFs
10307921526850,524,B cells
10307921526900,525,mPDAC
10307921526950,526,mPDAC
10307921527000,527,Endothelial cells
10307921527150,528,myCAFs
10307921527200,529,myCAFs
10307921527250,530,myCAFs
10307921527400,531,mPDAC
10307921527450,532,mPDAC
10307921527900,533,mPDAC
10307921527950,534,mPDAC
10307921528000,535,ePDAC
10307921528050,536,mPDAC
10307921528200,537,apCAFs
10307921528250,538,myCAFs
10307921528300,539,myCAFs
10307921528550,540,mPDAC
10307921528600,541,myCAFs
10307921528650,542,myCAFs
10307921528700,543,CD4 T cells
10307921528750,544,B cells
10307921528800,545,mPDAC
10307921528850,546,apCAFs
10307921528900,547,mPDAC
10307921529000,548,ePDAC
10307921529050,549,Endothelial cells
10307921529150,550,mPDAC
10307921529200,551,myCAFs
10307921529250,552,myCAFs
10307921529300,553,mPDAC
10307921529350,554,ePDAC
10307921529850,555,mPDAC
10307921529900,556,B cells
10307921529950,557,mPDAC
10307921530000,558,M2 Macrophage
10307921530050,559,myCAFs
10307921530100,560,mPDAC
10522669875750,561,myCAFs
10522669875800,562,mPDAC
10522669875850,563,mPDAC
10522669875900,564,myCAFs
10522669875950,565,myCAFs
10522669876000,566,ePDAC
10522669876050,567,myCAFs
10522669876100,568,mPDAC
10522669876150,569,ePDAC
10522669876200,570,mPDAC
10522669876250,571,ePDAC
10522669876300,572,mPDAC
10522669876350,573,myCAFs
10522669876400,574,mPDAC
10522669876450,575,Tregs
10522669876500,576,mPDAC
10522669876550,577,mPDAC
10522669876600,578,mPDAC
10522669876650,579,mPDAC
10522669876700,580,mPDAC
10522669876750,581,mPDAC
10522669876800,582,ePDAC
10522669876850,583,mPDAC
10522669876900,584,B cells
10522669876950,585,mPDAC
10522669877000,586,mPDAC
10522669877050,587,B cells
10522669877100,588,Endothelial cells
10522669877150,589,mPDAC
10522669877200,590,ePDAC
10522669877250,591,Tregs
10522669877300,592,ePDAC
10522669877350,593,mPDAC
10522669877400,594,Tregs
10522669877450,595,myCAFs
10522669877500,596,apCAFs
10522669877550,597,mPDAC
10522669877600,598,myCAFs
10522669877650,599,ePDAC
10522669877700,600,ePDAC
10522669877750,601,mPDAC
10522669877800,602,mPDAC
10522669877850,603,myCAFs
10522669877900,604,mPDAC
10522669877950,605,mPDAC
10522669878000,606,mPDAC
10522669878050,607,myCAFs
10522669878100,608,ePDAC
10522669878150,609,ePDAC
10522669878200,610,Endothelial cells
10522669878250,611,mPDAC
10522669878300,612,mPDAC
10522669878350,613,M2 Macrophage
10522669878400,614,mPDAC
10522669878450,615,mPDAC
10522669878500,616,myCAFs
10522669878550,617,myCAFs
10522669878600,618,mPDAC
10522669878650,619,Endothelial cells
10522669882300,620,mPDAC
10522669882350,621,mPDAC
10522669882400,622,apCAFs
10522669882450,623,mPDAC
10522669882500,624,mPDAC
10522669882550,625,mPDAC
10522669882600,626,myCAFs
10522669882650,627,mPDAC
10522669882700,628,Tregs
10522669882750,629,NK cells
10522669882800,630,ePDAC
10522669882850,631,mPDAC
10522669882900,632,apCAFs
10522669882950,633,mPDAC
10522669883000,634,Endothelial cells
10522669883050,635,Endothelial cells
10522669883100,636,mPDAC
10522669883150,637,apCAFs
10522669883200,638,ePDAC
10522669883250,639,mPDAC
10522669883300,640,mPDAC
10522669883350,641,mPDAC
10522669883400,642,mPDAC
10522669883450,643,mPDAC
10522669883500,644,mPDAC
10522669883550,645,mPDAC
10522669883600,646,ePDAC
10522669883650,647,mPDAC
10522669883700,648,mPDAC
10522669883750,649,mPDAC
10522669883800,650,B cells
10522669883850,651,iCAF
10522669883900,652,myCAFs
10522669883950,653,mPDAC
10522669884000,654,ePDAC
10522669884050,655,mPDAC
10522669884100,656,mPDAC
10522669884700,657,mPDAC
10522669884750,658,B cells
10522669884800,659,myCAFs
10522669884850,660,ePDAC
10522669884900,661,mPDAC
10522669884950,662,M2 Macrophage
10522669885000,663,mPDAC
10522669885050,664,B cells
10522669885100,665,CD4 T cells
10522669885150,666,mPDAC
10522669885200,667,mPDAC
10522669885250,668,mPDAC
10522669885300,669,myCAFs
10522669885350,670,myCAFs
10522669885400,671,mPDAC
10522669885450,672,apCAFs
10522669885500,673,myCAFs
10522669885550,674,apCAFs
10522669885600,675,mPDAC
10522669885650,676,apCAFs
10522669885700,677,mPDAC
10522669885750,678,Endothelial cells
10522669885800,679,Tregs
10522669885850,680,myCAFs
10522669885900,681,mPDAC
10522669885950,682,mPDAC
10522669886000,683,mPDAC
10522669886050,684,myCAFs
10522669886100,685,ePDAC
10522669886150,686,mPDAC
10522669886200,687,M2 Macrophage
10522669886250,688,Endothelial cells
10522669886300,689,Endothelial cells
10522669886350,690,myCAFs
10522669886400,691,myCAFs
10522669886450,692,mPDAC
10522669886500,693,myCAFs
10522669886550,694,mPDAC
10522669886600,695,apCAFs
10522669886650,696,myCAFs
10522669886700,697,apCAFs
10522669886750,698,mPDAC
10522669886800,699,myCAFs
10522669886850,700,mPDAC
10522669886900,701,myCAFs
10522669886950,702,mPDAC
10522669887000,703,ePDAC
10522669887050,704,mPDAC
10522669887100,705,mPDAC
10522669887150,706,myCAFs
10522669887200,707,mPDAC
10522669887250,708,myCAFs
10522669887300,709,mPDAC
10522669887350,710,apCAFs
10522669887400,711,mPDAC
10522669887500,712,apCAFs
10522669887550,713,mPDAC
10522669887600,714,apCAFs
10522669887650,715,myCAFs
10522669887700,716,M2 Macrophage
10522669887750,717,apCAFs
10522669887800,718,mPDAC
10522669887850,719,mPDAC
10522669887900,720,mPDAC
10522669887950,721,Tregs
10522669888000,722,mPDAC
10522669888050,723,mPDAC
10522669888100,724,mPDAC
10522669888150,725,mPDAC
10522669888200,726,mPDAC
10522669888250,727,apCAFs
10522669888300,728,mPDAC
10522669888350,729,apCAFs
10522669888400,730,mPDAC
10522669888450,731,mPDAC
10522669888500,732,mPDAC
10522669888550,733,Endothelial cells
10522669888600,734,apCAFs
10522669888650,735,B cells
10522669888700,736,mPDAC
10522669888750,737,mPDAC
10522669888800,738,M2 Macrophage
10522669888850,739,apCAFs
10522669888900,740,Endothelial cells
10522669888950,741,mPDAC
10522669889000,742,M2 Macrophage
10522669889050,743,myCAFs
10522669889100,744,mPDAC
10522669889150,745,mPDAC
10522669889200,746,ePDAC
10522669889250,747,mPDAC
10522669889300,748,myCAFs
10522669889350,749,ePDAC
10522669889400,750,mPDAC
10522669889450,751,apCAFs
10522669889500,752,M2 Macrophage
10522669889550,753,mPDAC
10522669889600,754,M2 Macrophage
10522669889650,755,myCAFs
10522669889700,756,myCAFs
10522669889750,757,mPDAC
10522669889800,758,CD4 T cells
10522669889850,759,mPDAC
10522669889900,760,mPDAC
10522669889950,761,myCAFs
10522669890000,762,apCAFs
10522669890050,763,apCAFs
10522669890100,764,CD4 T cells
10522669890150,765,myCAFs
10522669890200,766,apCAFs
10522669890250,767,myCAFs
10522669890300,768,Tregs
10522669890350,769,myCAFs
10522669890400,770,myCAFs
10522669890450,771,Endothelial cells
10522669890500,772,myCAFs
10522669890550,773,Tregs
10522669890600,774,mPDAC
10522669890650,775,myCAFs
10522669890700,776,myCAFs
10522669890750,777,myCAFs
10522669890800,778,B cells
10522669890850,779,myCAFs
10522669890900,780,M2 Macrophage
10522669890950,781,mPDAC
10522669891000,782,M2 Macrophage
10522669891050,783,mPDAC
10522669891100,784,myCAFs
10522669891150,785,myCAFs
10522669891200,786,Endothelial cells
10522669891250,787,M2 Macrophage
10522669891300,788,M2 Macrophage
10522669891350,789,B cells
10522669891400,790,mPDAC
10522669891450,791,M2 Macrophage
10522669891500,792,mPDAC
10522669891550,793,M2 Macrophage
10522669891600,794,mPDAC
10522669891650,795,myCAFs
10522669891700,796,myCAFs
10522669891750,797,myCAFs
10522669891800,798,Endothelial cells
10522669891850,799,myCAFs
10522669891900,800,mPDAC
10522669891950,801,myCAFs
10522669892000,802,myCAFs
10522669892050,803,mPDAC
10522669892150,804,myCAFs
10522669892200,805,M2 Macrophage
10522669892250,806,M2 Macrophage
10522669892300,807,myCAFs
10522669892650,808,M2 Macrophage
10522669892700,809,ePDAC
10522669892750,810,apCAFs
10522669892800,811,iCAF
10522669892850,812,mPDAC
10522669892900,813,iCAF
10522669892950,814,mPDAC
10522669893000,815,myCAFs
10522669893050,816,myCAFs
10522669893100,817,apCAFs
10522669893150,818,myCAFs
10522669893250,819,B cells
10522669893300,820,mPDAC
10522669893350,821,apCAFs
10522669893400,822,Endothelial cells
10522669893450,823,B cells
10522669893500,824,Tregs
10522669893550,825,mPDAC
10522669893600,826,mPDAC
10522669893650,827,myCAFs
10522669893700,828,myCAFs
10522669893750,829,myCAFs
10522669893800,830,M2 Macrophage
10522669893850,831,CD4 T cells
10522669893900,832,mPDAC
10522669893950,833,apCAFs
10522669894000,834,M2 Macrophage
10522669894050,835,myCAFs
10522669894100,836,mPDAC
10522669894150,837,apCAFs
10522669894200,838,Endothelial cells
10522669894600,839,M2 Macrophage
10522669894650,840,myCAFs
10522669894700,841,M2 Macrophage
10522669894750,842,apCAFs
10522669894800,843,mPDAC
10522669894850,844,mPDAC
10522669894900,845,M2 Macrophage
10522669894950,846,myCAFs
10737418240350,847,mPDAC
10737418240550,848,mPDAC
10737418240600,849,mPDAC
10737418240650,850,myCAFs
10737418240700,851,ePDAC
10737418240750,852,M2 Macrophage
10737418240800,853,mPDAC
10737418240850,854,mPDAC
10737418240900,855,mPDAC
10737418240950,856,myCAFs
10737418241000,857,mPDAC
10737418241050,858,mPDAC
10737418241100,859,Tregs
10737418241150,860,apCAFs
10737418241200,861,ePDAC
10737418241250,862,M2 Macrophage
10737418241300,863,mPDAC
10737418241350,864,mPDAC
10737418241400,865,ePDAC
10737418241450,866,mPDAC
10737418241500,867,mPDAC
10737418241550,868,B cells
10737418241600,869,Tregs
10737418241650,870,apCAFs
10737418241700,871,ePDAC
10737418241750,872,mPDAC
10737418241800,873,myCAFs
10737418241850,874,mPDAC
10737418241900,875,B cells
10737418241950,876,Tregs
10737418242000,877,mPDAC
10737418242050,878,Endothelial cells
10737418242100,879,iCAF
10737418242150,880,ePDAC
10737418242200,881,mPDAC
10737418242250,882,iCAF
10737418242300,883,myCAFs
10737418242350,884,mPDAC
10737418242400,885,ePDAC
10737418242450,886,mPDAC
10737418242500,887,mPDAC
10737418242550,888,myCAFs
10737418242600,889,mPDAC
10737418242650,890,mPDAC
10737418242700,891,mPDAC
10737418242750,892,mPDAC
10737418242800,893,myCAFs
10737418242850,894,mPDAC
10737418242900,895,M2 Macrophage
10737418242950,896,Endothelial cells
10737418243000,897,Endothelial cells
10737418243050,898,myCAFs
10737418243100,899,mPDAC
10737418243150,900,ePDAC
10737418243200,901,mPDAC
10737418243250,902,myCAFs
10737418243300,903,M2 Macrophage
10737418243350,904,myCAFs
10737418243400,905,Endothelial cells
10737418247050,906,mPDAC
10737418247100,907,ePDAC
10737418247150,908,mPDAC
10737418247200,909,mPDAC
10737418247250,910,mPDAC
10737418247300,911,ePDAC
10737418247350,912,mPDAC
10737418247400,913,myCAFs
10737418247450,914,CD4 T cells
10737418247500,915,ePDAC
10737418247550,916,mPDAC
10737418247600,917,Endothelial cells
10737418247650,918,mPDAC
10737418247700,919,myCAFs
10737418247750,920,mPDAC
10737418247800,921,ePDAC
10737418247850,922,Tregs
10737418247900,923,ePDAC
10737418247950,924,apCAFs
10737418248000,925,Tregs
10737418248050,926,myCAFs
10737418248100,927,myCAFs
10737418248150,928,mPDAC
10737418248200,929,mPDAC
10737418248250,930,mPDAC
10737418248300,931,B cells
10737418248350,932,mPDAC
10737418248400,933,mPDAC
10737418248450,934,myCAFs
10737418248500,935,mPDAC
10737418248550,936,apCAFs
10737418248600,937,myCAFs
10737418248650,938,Endothelial cells
10737418248700,939,Endothelial cells
10737418248750,940,M2 Macrophage
10737418248800,941,apCAFs
10737418248850,942,myCAFs
10737418248900,943,mPDAC
10737418248950,944,mPDAC
10737418249000,945,myCAFs
10737418249050,946,mPDAC
10737418249100,947,mPDAC
10737418249150,948,myCAFs
10737418249550,949,Endothelial cells
10737418249600,950,apCAFs
10737418249650,951,mPDAC
10737418249700,952,mPDAC
10737418249750,953,B cells
10737418249800,954,M2 Macrophage
10737418249850,955,iCAF
10737418249900,956,iCAF
10737418249950,957,mPDAC
10737418250000,958,myCAFs
10737418250050,959,mPDAC
10737418250100,960,myCAFs
10737418250150,961,mPDAC
10737418250200,962,mPDAC
10737418250250,963,mPDAC
10737418250300,964,Endothelial cells
10737418250350,965,apCAFs
10737418250400,966,M2 Macrophage
10737418250450,967,apCAFs
10737418250500,968,apCAFs
10737418250550,969,mPDAC
10737418250600,970,Tregs
10737418250650,971,Endothelial cells
10737418250700,972,mPDAC
10737418250750,973,ePDAC
10737418250800,974,B cells
10737418250850,975,Endothelial cells
10737418250900,976,mPDAC
10737418250950,977,mPDAC
10737418251000,978,mPDAC
10737418251050,979,B cells
10737418251100,980,mPDAC
10737418251150,981,mPDAC
10737418251200,982,mPDAC
10737418251250,983,M2 Macrophage
10737418251300,984,mPDAC
